
2025/02/07 (19:07:04) | ===> btop++ v.1.4.0
2025/02/07 (19:07:04) | INFO: Logger set to DEBUG
2025/02/07 (19:07:04) | DEBUG: Setting LC_ALL=en_US.UTF-8
2025/02/07 (19:07:04) | INFO: Running on /dev/pts/1
2025/02/07 (19:07:04) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/02/07 (19:07:04) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/02/07 (19:07:04) | WARNING: Intel GPU: Failed to initialize PMU
2025/02/07 (19:07:04) | DEBUG: Shared::init() : Initialized.
2025/02/07 (19:07:04) | DEBUG: Loading theme file: /home/Wayland/.config/btop/themes/rice.theme
2025/02/07 (19:08:02) | DEBUG: Writing new config file
2025/02/07 (19:08:02) | INFO: Quitting! Runtime: 00:00:58

2025/02/07 (19:08:04) | ===> btop++ v.1.4.0
2025/02/07 (19:08:04) | INFO: Logger set to DEBUG
2025/02/07 (19:08:04) | DEBUG: Setting LC_ALL=en_US.UTF-8
2025/02/07 (19:08:04) | INFO: Running on /dev/pts/1
2025/02/07 (19:08:04) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/02/07 (19:08:04) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/02/07 (19:08:04) | WARNING: Intel GPU: Failed to initialize PMU
2025/02/07 (19:08:04) | DEBUG: Shared::init() : Initialized.
2025/02/07 (19:08:04) | DEBUG: Loading theme file: /home/Wayland/.config/btop/themes/rice.theme
2025/02/07 (19:08:10) | INFO: Quitting! Runtime: 00:00:06

2025/02/07 (19:08:31) | ===> btop++ v.1.4.0
2025/02/07 (19:08:31) | INFO: Logger set to DEBUG
2025/02/07 (19:08:31) | DEBUG: Setting LC_ALL=en_US.UTF-8
2025/02/07 (19:08:31) | INFO: Running on /dev/pts/1
2025/02/07 (19:08:31) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/02/07 (19:08:31) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/02/07 (19:08:31) | WARNING: Intel GPU: Failed to initialize PMU
2025/02/07 (19:08:31) | DEBUG: Shared::init() : Initialized.
2025/02/07 (19:08:31) | DEBUG: Loading theme file: /home/Wayland/.config/btop/themes/rice.theme
2025/02/07 (19:08:36) | INFO: Quitting! Runtime: 00:00:05

2025/02/07 (19:08:52) | ===> btop++ v.1.4.0
2025/02/07 (19:08:52) | INFO: Logger set to DEBUG
2025/02/07 (19:08:52) | DEBUG: Setting LC_ALL=en_US.UTF-8
2025/02/07 (19:08:52) | INFO: Running on /dev/pts/1
2025/02/07 (19:08:52) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/02/07 (19:08:52) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/02/07 (19:08:52) | WARNING: Intel GPU: Failed to initialize PMU
2025/02/07 (19:08:52) | DEBUG: Shared::init() : Initialized.
2025/02/07 (19:08:52) | DEBUG: Loading theme file: /home/Wayland/.config/btop/themes/rice.theme
2025/02/07 (19:08:58) | INFO: Quitting! Runtime: 00:00:06

2025/02/07 (19:09:03) | ===> btop++ v.1.4.0
2025/02/07 (19:09:03) | INFO: Logger set to DEBUG
2025/02/07 (19:09:03) | DEBUG: Setting LC_ALL=en_US.UTF-8
2025/02/07 (19:09:03) | INFO: Running on /dev/pts/1
2025/02/07 (19:09:03) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/02/07 (19:09:03) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/02/07 (19:09:03) | WARNING: Intel GPU: Failed to initialize PMU
2025/02/07 (19:09:03) | DEBUG: Shared::init() : Initialized.
2025/02/07 (19:09:03) | DEBUG: Loading theme file: /home/Wayland/.config/btop/themes/rice.theme
2025/02/07 (19:09:56) | INFO: Quitting! Runtime: 00:00:53
